label_original,family,full,exact_seen,near_seen,novel,exact_overlap_share,near_overlap_share,novel_unstable,protocol,variant,feature_set
Botnet,Botnet,221,0,205,221,0.0,0.9276018099547512,False,random,primary,no_header_length
Botnet - Attempted,BENIGN,1220,997,1220,223,0.8172131147540984,1.0,False,random,primary,no_header_length
DDoS,DDoS,28543,0,28432,28543,0.0,0.9961111305749221,False,random,primary,no_header_length
DoS GoldenEye,DoS GoldenEye,2270,0,463,2270,0.0,0.2039647577092511,False,random,primary,no_header_length
DoS GoldenEye - Attempted,BENIGN,24,0,24,24,0.0,1.0,True,random,primary,no_header_length
DoS Hulk,DoS Hulk,47540,0,31999,47540,0.0,0.6730963399242743,False,random,primary,no_header_length
DoS Hulk - Attempted,BENIGN,174,0,173,174,0.0,0.9942528735632183,False,random,primary,no_header_length
DoS Slowhttptest,DoS Slowhttptest,522,0,476,522,0.0,0.9118773946360154,False,random,primary,no_header_length
DoS Slowhttptest - Attempted,BENIGN,1010,0,1005,1010,0.0,0.995049504950495,False,random,primary,no_header_length
DoS Slowloris,DoS Slowloris,1158,0,1147,1158,0.0,0.9905008635578584,False,random,primary,no_header_length
DoS Slowloris - Attempted,BENIGN,554,1,550,553,0.0018050541516245488,0.9927797833935018,False,random,primary,no_header_length
FTP-Patator,FTP-Patator,1192,0,954,1192,0.0,0.8003355704697986,False,random,primary,no_header_length
FTP-Patator - Attempted,BENIGN,4,0,4,4,0.0,1.0,True,random,primary,no_header_length
Heartbleed,Heartbleed,3,0,0,3,0.0,0.0,True,random,primary,no_header_length
Infiltration,Infiltration,11,0,0,11,0.0,0.0,True,random,primary,no_header_length
Infiltration - Attempted,BENIGN,14,5,13,9,0.35714285714285715,0.9285714285714286,True,random,primary,no_header_length
Infiltration - Portscan,Portscan,21530,20169,21506,1361,0.9367858801672085,0.9988852763585694,False,random,primary,no_header_length
Portscan,Portscan,47720,47323,47715,397,0.9916806370494552,0.9998952221290863,False,random,primary,no_header_length
SSH-Patator,SSH-Patator,888,0,822,888,0.0,0.9256756756756757,False,random,primary,no_header_length
SSH-Patator - Attempted,BENIGN,8,0,7,8,0.0,0.875,True,random,primary,no_header_length
Web Attack - Brute Force,Web Attack - Brute Force,22,0,0,22,0.0,0.0,True,random,primary,no_header_length
Web Attack - Brute Force - Attempted,BENIGN,388,0,385,388,0.0,0.9922680412371134,False,random,primary,no_header_length
Web Attack - SQL Injection,Web Attack - SQL Injection,4,0,0,4,0.0,0.0,True,random,primary,no_header_length
Web Attack - SQL Injection - Attempted,BENIGN,2,0,0,2,0.0,0.0,True,random,primary,no_header_length
Web Attack - XSS,Web Attack - XSS,5,0,0,5,0.0,0.0,True,random,primary,no_header_length
Web Attack - XSS - Attempted,BENIGN,197,0,194,197,0.0,0.9847715736040609,False,random,primary,no_header_length
